Category,Feature,Description,Implementation Details,Configuration
Domain Randomization,Backlash Simulation,Gear backlash modeling,Backlash activation threshold and range,Realistic actuator modeling
Domain Randomization,Initial State Randomization,Varied starting conditions,rand_init_state_indices position/yaw offsets,Configurable spawn variation
Domain Randomization,Push Disturbances,External force application,Configurable push intervals and magnitudes,Robustness training
Domain Randomization,Sensor Noise,Realistic sensor imperfections,Motor position/velocity noise IMU noise models,Comprehensive noise simulation
Domain Randomization,IMU Noise Modeling,Advanced inertial sensor simulation,AR(1) processes bias random walks amplitude variation,Gyro and quaternion noise
Domain Randomization,Terrain Randomization,Environment variation,Configurable terrain types and layouts,Manual and random terrain maps
Curriculum Learning,Reward Curriculum,Progressive reward scaling,Step-based reward weight transitions,Multi-phase training
Curriculum Learning,Velocity Sampling Curriculum,Progressive command complexity,disable_velocity_sampling curriculum,Phase-based command sampling
Curriculum Learning,Motion Selection Curriculum,Progressive motion complexity,enabled_motions parameter,Subset to full motion set
Curriculum Learning,DeepMimic to Command Following,Two-phase training approach,Phase 1: exact reference tracking Phase 2: command following,Automatic phase transitions
Command System,Multi-Modal Commands,Diverse command types,Linear velocity angular velocity discrete commands,Task-specific command spaces
Command System,Command Resampling,Dynamic goal changes,resample_time parameter,Configurable resampling frequency
Command System,Command Deadzones,Zero-command regions,deadzone parameter for each command dimension,Prevents drift in neutral regions
Command System,Command Ranges,Bounded command spaces,command_range parameter,Per-dimension min/max bounds
Command System,Zero/Turn Chances,Biased command sampling,zero_chance turn_chance parameters,Encourages specific behaviors
Motion References,Keyframe Motion References,Pre-recorded motion data,LZ4 compressed motion files,Efficient motion storage
Motion References,ZMP Walking References,Zero Moment Point walking,WalkZMPReference for stable walking,Dynamic balance control
Motion References,Multi-Directional References,Omnidirectional motion support,Forward/backward/left/right motion variants,Comprehensive mobility
Motion References,Robot-Relative vs Global Frames,Flexible reference frame handling,is_robot_relative_frame flag,Frame transformation support
Motion References,Site-Based Tracking,End-effector position tracking,Recorded site mapping for precise control,Hand/foot position accuracy
Terrain System,Procedural Terrain Generation,Algorithmic terrain creation,Configurable terrain types and parameters,Scalable environment complexity
Terrain System,Manual Terrain Maps,Designer-specified layouts,manual_map configuration,Precise environment control
Terrain System,Terrain Tiles,Modular terrain system,Configurable tile dimensions and resolution,Efficient terrain representation
Terrain System,Custom Scene Loading,XML scene file support,scene parameter for custom environments,Flexible environment design
Terrain System,Collision Geometry,Configurable collision detection,robot_collision_geom_names,Precise contact modeling
Noise Modeling,Comprehensive Sensor Noise,Multi-layered noise simulation,Position velocity IMU noise,Realistic sensor modeling
Noise Modeling,AR(1) Noise Processes,Temporally correlated noise,Gyro and quaternion AR(1) models,Advanced noise characteristics
Noise Modeling,Bias Random Walks,Sensor drift modeling,Bias walk standard deviations,Long-term sensor errors
Noise Modeling,Amplitude Variation,Dynamic noise scaling,Amplitude min/max ranges,Variable noise intensity
Training Infrastructure,Weights & Biases Integration,Experiment tracking and logging,wandb_project wandb_entity configuration,Comprehensive experiment management
Training Infrastructure,Checkpointing System,Model saving and loading,Automatic checkpoint management,Training resumption support
Training Infrastructure,Multi-GPU Support,Distributed training,Multi-GPU configuration and synchronization,Scalable training
Training Infrastructure,Evaluation Pipeline,Automated model evaluation,Configurable evaluation frequency and metrics,Performance monitoring
Training Infrastructure,Video Logging,Visual training progress,Automatic video generation and logging,Visual debugging and analysis
Training Infrastructure,Metric Buffering,Training statistics collection,Rolling metric buffers,Performance trend analysis
Simulation Features,Self-Contact Handling,Intra-robot collision detection,Configurable self_contact_pairs,Realistic self-collision
Simulation Features,Contact Force Analysis,Detailed contact information,Contact force vectors and analysis,Physics-based interaction
Simulation Features,Actuator Modeling,Realistic motor simulation,Force limits velocity limits PD control,Hardware-accurate simulation
Simulation Features,Playback Speed Control,Variable simulation speed,playback_speed parameter,Training efficiency optimization
Simulation Features,Solver Configuration,Physics solver settings,Newton solver with configurable parameters,Simulation accuracy control
Performance Features,JAX JIT Compilation,Just-in-time compilation,@jax.jit decorators for performance,GPU acceleration
Performance Features,Vectorized Environments,Parallel environment execution,Configurable num_envs parameter,Training throughput optimization
Performance Features,Memory Efficient Storage,Compressed motion data,LZ4 compression for motion files,Storage optimization
Performance Features,Batch Processing,Vectorized operations,JAX vmap for parallel processing,Computational efficiency
